               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  98,              1.7016,              1.2654,              1.7008,              0.8059,             0.74371,             0.80326,             0.49017,                   0,                   0,                   0,          5.1985e-05,          5.1985e-05,          5.1985e-05
                  99,              1.7124,              1.2814,              1.7087,              0.7938,             0.75643,             0.80615,             0.49039,                   0,                   0,                   0,           5.149e-05,           5.149e-05,           5.149e-05
                 100,              1.6912,              1.2589,              1.6928,             0.78549,             0.76312,             0.80526,             0.49169,                   0,                   0,                   0,          5.0995e-05,          5.0995e-05,          5.0995e-05
                 101,              1.6977,              1.2722,              1.7003,             0.79346,             0.74972,             0.79735,             0.48663,                   0,                   0,                   0,            5.05e-05,            5.05e-05,            5.05e-05
                 102,              1.6802,              1.2634,              1.6902,             0.79772,             0.75482,             0.80732,             0.49394,                   0,                   0,                   0,          5.0005e-05,          5.0005e-05,          5.0005e-05
                 103,               1.689,              1.2709,              1.6959,             0.79536,             0.75309,             0.81015,             0.49343,                   0,                   0,                   0,           4.951e-05,           4.951e-05,           4.951e-05
                 104,              1.6701,              1.2539,              1.6884,             0.80204,             0.74801,             0.80873,             0.49905,                   0,                   0,                   0,          4.9015e-05,          4.9015e-05,          4.9015e-05
                 105,              1.6808,               1.247,              1.6829,             0.78994,             0.75946,             0.81001,              0.4939,                   0,                   0,                   0,           4.852e-05,           4.852e-05,           4.852e-05
                 106,              1.6933,              1.2672,              1.6941,             0.78447,             0.76931,             0.80479,             0.49399,                   0,                   0,                   0,          4.8025e-05,          4.8025e-05,          4.8025e-05
                 107,              1.6881,              1.2522,              1.6862,             0.79589,             0.75499,             0.80748,             0.49718,                   0,                   0,                   0,           4.753e-05,           4.753e-05,           4.753e-05
                 108,              1.6716,              1.2438,              1.6804,             0.78806,             0.76764,             0.80483,             0.49775,                   0,                   0,                   0,          4.7035e-05,          4.7035e-05,          4.7035e-05
                 109,              1.6671,              1.2563,              1.6771,             0.78881,             0.77254,             0.80605,             0.49737,                   0,                   0,                   0,           4.654e-05,           4.654e-05,           4.654e-05
                 110,              1.6637,              1.2379,              1.6732,             0.78678,             0.76461,             0.79987,             0.49039,                   0,                   0,                   0,          4.6045e-05,          4.6045e-05,          4.6045e-05
                 111,              1.6765,              1.2521,              1.6853,              0.7985,             0.75514,             0.79938,             0.49297,                   0,                   0,                   0,           4.555e-05,           4.555e-05,           4.555e-05
                 112,              1.6587,               1.238,              1.6844,             0.79985,              0.7674,             0.80553,             0.49597,                   0,                   0,                   0,          4.5055e-05,          4.5055e-05,          4.5055e-05
                 113,               1.672,               1.243,              1.6846,             0.78862,             0.76629,             0.80876,             0.50096,                   0,                   0,                   0,           4.456e-05,           4.456e-05,           4.456e-05
                 114,              1.6599,              1.2365,              1.6621,             0.80343,             0.76552,             0.81511,             0.50505,                   0,                   0,                   0,          4.4065e-05,          4.4065e-05,          4.4065e-05
                 115,              1.6594,              1.2341,              1.6652,             0.78951,             0.76505,             0.80514,             0.49939,                   0,                   0,                   0,           4.357e-05,           4.357e-05,           4.357e-05
                 116,              1.6675,               1.242,              1.6637,             0.80254,             0.75819,             0.80759,             0.50402,                   0,                   0,                   0,          4.3075e-05,          4.3075e-05,          4.3075e-05
